BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,WILLIAMSBURG-CENTRAL,03 THREE FAMILY DWELLINGS,9,"272,000","1,597,381","995,000","3,500,000",2024
3,WILLIAMSBURG-EAST,01 ONE FAMILY DWELLINGS,10,"975,000","1,710,500","1,680,000","2,400,000",2024
3,WILLIAMSBURG-EAST,02 TWO FAMILY DWELLINGS,27,"625,172","2,347,006","2,150,000","4,918,000",2024
3,WILLIAMSBURG-EAST,03 THREE FAMILY DWELLINGS,7,"1,050,000","2,067,000","2,350,000","2,499,000",2024
3,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS,4,"2,400,000","3,525,000","3,150,000","5,400,000",2024
3,WILLIAMSBURG-NORTH,02 TWO FAMILY DWELLINGS,5,"2,250,000","3,537,000","3,350,000","5,250,000",2024
3,WILLIAMSBURG-NORTH,03 THREE FAMILY DWELLINGS,5,"2,425,000","2,790,000","2,750,000","3,150,000",2024
3,WILLIAMSBURG-SOUTH,02 TWO FAMILY DWELLINGS,1,"1,760,000","1,760,000","1,760,000","1,760,000",2024
3,WILLIAMSBURG-SOUTH,03 THREE FAMILY DWELLINGS,7,"2,400,000","3,094,643","3,200,000","3,800,000",2024
3,WINDSOR TERRACE,01 ONE FAMILY DWELLINGS,15,"998,000","1,917,200","1,915,000","2,795,000",2024
3,WINDSOR TERRACE,02 TWO FAMILY DWELLINGS,21,"1,100,000","2,135,476","2,020,000","3,075,000",2024
3,WINDSOR TERRACE,03 THREE FAMILY DWELLINGS,7,"2,200,000","2,671,571","2,750,000","3,050,000",2024
3,WYCKOFF HEIGHTS,01 ONE FAMILY DWELLINGS,2,"1,135,000","1,355,000","1,355,000","1,575,000",2024
3,WYCKOFF HEIGHTS,02 TWO FAMILY DWELLINGS,15,"900,000","1,387,266","1,420,000","2,410,000",2024
3,WYCKOFF HEIGHTS,03 THREE FAMILY DWELLINGS,7,"550,000","1,490,000","1,530,000","2,425,000",2024
