BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,WILLIAMSBURG-EAST,01 ONE FAMILY DWELLINGS,10,975000,1710500,1680000,2400000,2024
3,WILLIAMSBURG-EAST,02 TWO FAMILY DWELLINGS,27,625172,2347006,2150000,4918000,2024
3,WILLIAMSBURG-EAST,03 THREE FAMILY DWELLINGS,7,1050000,2067000,2350000,2499000,2024
3,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS,4,2400000,3525000,3150000,5400000,2024
3,WILLIAMSBURG-NORTH,02 TWO FAMILY DWELLINGS,5,2250000,3537000,3350000,5250000,2024
3,WILLIAMSBURG-NORTH,03 THREE FAMILY DWELLINGS,5,2425000,2790000,2750000,3150000,2024
3,WILLIAMSBURG-SOUTH,02 TWO FAMILY DWELLINGS,1,1760000,1760000,1760000,1760000,2024
3,WILLIAMSBURG-SOUTH,03 THREE FAMILY DWELLINGS,7,2400000,3094643,3200000,3800000,2024
3,WINDSOR TERRACE,01 ONE FAMILY DWELLINGS,15,998000,1917200,1915000,2795000,2024
3,WINDSOR TERRACE,02 TWO FAMILY DWELLINGS,21,1100000,2135476,2020000,3075000,2024
3,WINDSOR TERRACE,03 THREE FAMILY DWELLINGS,7,2200000,2671571,2750000,3050000,2024
3,WYCKOFF HEIGHTS,01 ONE FAMILY DWELLINGS,2,1135000,1355000,1355000,1575000,2024
3,WYCKOFF HEIGHTS,02 TWO FAMILY DWELLINGS,15,900000,1387266,1420000,2410000,2024
3,WYCKOFF HEIGHTS,03 THREE FAMILY DWELLINGS,7,550000,1490000,1530000,2425000,2024
